2023-07-30 08:35,Sail,
2023-07-30 19:00,Engine,
2023-07-30 19:20,Anchor,
,,
,Stop,Cawsand Bay
2023-08-01 01:20,Engine,
2023-08-01 01:35,MotorSail,
2023-08-01 01:55,Sail,
2023-08-01 08:20,Engine,
2023-08-01 09:00,MoorPontoon,
2023-08-01 10:00,Engine,
2023-08-01 10:45,Anchor,
,,
,Stop,Tor Bay
2023-08-03 13:00,Engine,
2023-08-03 13:30,MoorPontoon,
2023-08-03 21:00,Engine,
2023-08-03 21:25,Sail,
2023-08-04 07:25,Engine,
2023-08-04 09:25,Anchor,
,,
,Stop,Portland
2023-08-06 08:30,Engine,
2023-08-06 09:05,Sail,
2023-08-06 12:50,Engine,
2023-08-06 13:10,MoorBuoy,
,,
,Stop,Studland Bay
2023-08-07 09:10,Sail,
2023-08-07 10:10,MotorSail,
2023-08-07 10:20,Sail,
2023-08-07 13:45,Engine,
2023-08-07 14:30,MoorPontoon,
,,
,Stop,Cowes
2023-08-08 09:10,Engine,
2023-08-08 09:20,Sail,
2023-08-08 10:50,Engine,
2023-08-08 11:10,MoorPontoon,
,,
,Stop,Portsmouth
